simulation,strategy,group,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
0,SMA stack momentum,Momentum trigger,0.10769891180597169,0.241576644115869,1.6680034647174558,-0.40245344037981096,265.6720866654571,289,49.28571428571429,21.547619047619047,9.841269841269842,19.325396825396826
0,SMA slope momentum,Momentum trigger,0.1224110895638284,0.24375411468688954,1.7445906774970108,-0.3384264450000844,301.7503922878257,272,42.301587301587304,21.071428571428573,19.126984126984127,17.5
0,MACD momentum,Momentum trigger,-0.003231485072201501,0.21403905528971195,1.8607643338883466,-0.5819266082025686,95.95530734045114,341,49.28571428571429,23.214285714285715,15.317460317460318,12.182539682539682
0,RSI momentum,Momentum trigger,-0.05327684171935243,0.26236619967779107,3.1922826942928144,-0.7113911388859965,58.36670562922737,738,42.857142857142854,16.547619047619047,8.293650793650793,32.301587301587304
0,Donchian breakout momentum,Momentum trigger,0.08148109471876586,0.24133169866624415,0.9263950915741028,-0.3417125878530656,210.8382110010788,137,47.73809523809524,27.18253968253968,4.444444444444445,20.634920634920633
0,Vol-adjusted SMA stack,Momentum trigger,0.08764751895144429,0.2276238989933726,1.6755829741592736,-0.402196733549881,222.73054765894992,291,50.75396825396825,20.476190476190474,10.952380952380953,17.817460317460316
0,Long-hold 3/6/12m momentum,Long-hold momentum,0.03803701942605575,0.29684188337911344,0.5717520873559107,-0.48715425684161096,141.93977122976182,106,53.57142857142857,9.761904761904763,4.2063492063492065,32.46031746031746
0,SMA stack hysteresis,Long-hold momentum,0.04462312597430418,0.2943106236214675,0.7692419003847569,-0.43875642568258344,150.87358214382738,187,49.28571428571429,8.531746031746032,12.3015873015873,29.88095238095238
0,Absolute momentum trailing stop,Long-hold momentum,-0.13476154786966932,0.27285241983310393,1.1391927529786632,-0.8157367916956024,24.487118874379313,257,63.84920634920634,5.714285714285714,0.0,30.436507936507933
0,ADX trend strength,Long-hold momentum,0.030356317274066402,0.25793933090910454,0.9157392481137492,-0.41993843137744025,132.12225384601263,165,49.28571428571429,23.49206349206349,3.8095238095238098,23.41269841269841
0,Keltner trend channel,Long-hold momentum,0.10907041351139601,0.2852413382301993,1.932209434969935,-0.4265102954827503,268.86374550434476,279,49.36507936507937,5.119047619047619,10.238095238095237,35.27777777777778
0,Monthly momentum regime,Long-hold momentum,0.020771605074763055,0.2793776210105017,0.060030626863345656,-0.5760715976691861,120.72695552955092,29,65.5952380952381,1.8253968253968256,9.285714285714286,23.293650793650794
0,Guarded A10/B20 SMA20,Reference,0.17896313692935983,0.3292605159836217,3.7554616729663723,-0.3330283424876328,484.9293207534572,358,42.06349206349206,0.873015873015873,0.0,57.06349206349206
0,SMA20 3x/cash,Reference,0.17702419639547684,0.3343628569209477,3.744251105908746,-0.33302834248763175,477.28701992588213,358,42.06349206349206,0.0,0.0,57.936507936507944
0,SMA20 2x/cash,Reference,0.1626513193889123,0.22290654460952294,3.7806648928273647,-0.22755104973541967,423.9193477864662,358,42.06349206349206,0.0,57.936507936507944,0.0
0,Buy & hold 1x,Reference,0.07004628375542188,0.20920821960991143,0.022910162567855184,-0.4596719650312533,192.20377010517706,0,0.0,100.0,0.0,0.0
1,SMA stack momentum,Momentum trigger,0.1893567196437762,0.30483720759333016,1.677744199086043,-0.2565768541324223,527.796912209291,318,41.30952380952381,22.26190476190476,10.714285714285714,25.71428571428571
1,SMA slope momentum,Momentum trigger,0.16880557254975326,0.30745532408917253,1.6217472790793062,-0.2839916279089166,446.0779227344259,319,32.93650793650794,18.849206349206348,25.436507936507937,22.77777777777778
1,MACD momentum,Momentum trigger,0.09485054858907471,0.24908264899909346,2.037544433382195,-0.2518324049384018,237.38089803173426,335,41.30952380952381,29.404761904761905,17.063492063492063,12.222222222222221
1,RSI momentum,Momentum trigger,0.03634907834586509,0.3060305453259478,3.2159718216460202,-0.46747665167251534,139.72787514635354,727,39.166666666666664,15.833333333333332,9.484126984126984,35.51587301587302
1,Donchian breakout momentum,Momentum trigger,0.13305771113492693,0.33080996147058966,1.0180840751329316,-0.42251209810993917,330.53497604108867,152,35.79365079365079,26.23015873015873,8.134920634920634,29.841269841269842
